"icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","geo_altitude","on_ground","velocity","true_track","vertical_rate","sensors","baro_altitude","squawk","spi","position_source","category",""
"                  StateVector(dict_values(['a34acb'"," 'N311CS  '"," 'United States'","1745866506","1745866506","-79.7672","24.9431","7345.68"," False","155.85","130.31","6.18"," None","7719.06"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['0d0da0'"," 'VIV002  '"," 'Mexico'","1745866507","1745866507","-99.3654","27.5849","9151.62"," False","221.84","203.65","-0.33"," None","9654.54"," '2705'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a1bd87'"," 'N211DC  '"," 'United States'","1745866504","1745866507","-118.2188","33.9073","579.12"," False","71.77","274.93","-4.88"," None","586.74"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a16154'"," 'N1884M  '"," 'United States'","1745866499","1745866499","-85.9581","40.2275","975.36"," False","42.79","99.69","2.93"," None","1013.46"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a30460'"," 'ASA1180 '"," 'United States'","1745866507","1745866507","-121.724","41.4212","10668"," False","251.57","179.77","0"," None","10858.5"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['0d0da5'"," 'AMX927  '"," 'Mexico'","1745866507","1745866507","-100.1119","25.7791"," None"," True","1.54","300.94"," None"," None"," None"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['abc40d'"," 'SWA4793 '"," 'United States'","1745866507","1745866507","-86.3358","41.1022","11277.6"," False","251.07","107.28","0"," None","11605.26"," None"," False","0"," 4]))",""
"                  StateVector(dict_values(['acdd18'"," 'NKS493  '"," 'United States'","1745866363","1745866363","-87.9047","41.9722"," None"," True","5.66","59.06"," None"," None"," None"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a1c458'"," 'N21272  '"," 'United States'","1745866229","1745866229","-111.1359","32.1281","952.5"," False","47.33","232.51","-0.65"," None","937.26"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['ac8d58'"," 'ERU908  '"," 'United States'","1745866507","1745866507","-80.7634","28.179","693.42"," False","50.81","164.13","0"," None","754.38"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['48c2af'"," 'RYR90JD '"," 'Poland'","1745866294","1745866360","0.2691","51.9079","83.82"," False","74.59","223.6","-5.2"," None","251.46"," '4651'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a9755d'"," 'N7085R  '"," 'United States'","1745866506","1745866507","-117.4752","33.9679","1463.04"," False","37.56","53.91","2.93"," None","1455.42"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a39a30'"," 'WUP331  '"," 'United States'","1745866502","1745866507","-83.9326","29.8602","10218.42"," False","235.7","139.43","0"," None","10675.62"," '2541'"," False","0"," 0]))",""
"                  StateVector(dict_values(['71002c'"," 'SVA117  '"," 'Saudi Arabia'","1745866506","1745866507","-0.4218","51.6085","2133.6"," False","141.45","259.1","0.33"," None","2308.86"," '5222'"," False","0"," 0]))",""
"                  StateVector(dict_values(['48c2ad'"," 'RYR4KD  '"," 'Poland'","1745866507","1745866507","4.6927","52.7901","11277.6"," False","226.12","98.24","0"," None","11475.72"," '4651'"," False","0"," 0]))",""
"                  StateVector(dict_values(['ac8111'"," 'ASI81   '"," 'United States'","1745866505","1745866506","-111.6394","32.9675","1318.26"," False","49.94","124.51","-0.65"," None","1325.88"," '1200'"," False","0"," 0]))",""
"                  StateVector(dict_values(['48c2ae'"," 'RYR2CA  '"," 'Poland'","1745866507","1745866507","14.2299","52.4881","2430.78"," False","139.92","265.15","-6.83"," None","2598.42"," '1000'"," False","0"," 0]))",""
"                  StateVector(dict_values(['48c2ab'"," 'RYR58ZB '"," 'Poland'","1745866507","1745866507","14.3762","47.197","11277.6"," False","226.69","121.92","0.33"," None","11414.76"," '2205'"," False","0"," 0]))",""
"                  StateVector(dict_values(['71002a'"," 'SVA883  '"," 'Saudi Arabia'","1745866506","1745866507","86.3379","23.6467","10972.8"," False","210.35","252.05","-0.33"," None","11445.24"," '3177'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a9b20d'"," 'N7237Q  '"," 'United States'","1745866332","1745866332","-81.5659","35.4234","906.78"," False","43.73","270","-2.28"," None","998.22"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a39a36'"," 'N331HA  '"," 'United States'","1745866507","1745866507","-81.8427","41.664","4488.18"," False","259.34","113.87","-12.68"," None","4686.3"," '2646'"," False","0"," 0]))",""
"                  StateVector(dict_values(['8695c6'"," 'ANA109  '"," 'Japan'","1745866507","1745866507","-78.8174","47.9684","9144"," False","223.54","338.39","0"," None","9281.16"," '2737'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a9d86c'"," 'RPA3539 '"," 'United States'","1745866507","1745866507","-73.4856","42.3207","9448.8"," False","197.32","8.85","0.33"," None","9578.34"," '2117'"," False","0"," 4]))",""
"                  StateVector(dict_values(['ab0acb'"," 'EJA810  '"," 'United States'","1745866503","1745866504","-97.9297","38.4676","12496.8"," False","273.04","76.93","-0.33"," None","12778.74"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['48c2b8'"," 'RYR49JJ '"," 'Poland'","1745866507","1745866507","15.3863","40.8128","11582.4"," False","226.55","8.09","0"," None","11696.7"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['342398'"," 'VLG7WW  '"," 'Spain'","1745866507","1745866507","11.2407","40.756","10972.8"," False","231.43","273.57","0"," None","11102.34"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a0417c'"," 'N1152Z  '"," 'United States'","1745866502","1745866502","-122.3078","47.5363","-99.06"," False","35.12","148.17","2.6"," None","-7.62"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a1bd6a'"," 'MXY578  '"," 'United States'","1745866507","1745866507","-76.1182","36.5172","7620"," False","221.51","208.89","-5.2"," None","7879.08"," '3430'"," False","0"," 0]))",""
"                  StateVector(dict_values(['0d0db8'"," 'AMX402  '"," 'Mexico'","1745866507","1745866507","-82.4714","34.0861","11277.6"," False","249.16","58.51","0"," None","11689.08"," '4005'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a0c9c7'"," 'N15VX   '"," 'United States'","1745866507","1745866507","-92.5742","40.0552","12496.8"," False","274.54","94.51","0"," None","12786.36"," '6352'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a17fb5'"," 'AAY3603 '"," 'United States'","1745866507","1745866507","-85.2787","35.7523","11887.2"," False","243.31","172.59","0"," None","12306.3"," '6260'"," False","0"," 0]))",""
"                  StateVector(dict_values(['886288'"," 'TAX612  '"," 'Thailand'","1745866466","1745866466","103.6492","14.5263","11277.6"," False","240","64.48","-0.33"," None","12009.12"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a329a7'"," 'N3024C  '"," 'United States'","1745866502","1745866504","-73.9491","42.8245","182.88"," False","42.33","20.64","-1.3"," None","220.98"," '6012'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a12611'"," 'N173TX  '"," 'United States'","1745866506","1745866507","-79.7289","39.3424","8221.98"," False","140.3","54.85","0"," None","8488.68"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['71be35'"," 'AAR203  '"," 'Republic of Korea'","1745866413","1745866467","126.5169","37.391","480.06"," False","68.95","324.41","-3.58"," None","502.92"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['abd5e0'"," 'SWA455  '"," 'United States'","1745866507","1745866507","-120.1222","38.641","8107.68"," False","222.91","92.12","6.18"," None","8244.84"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['a6b458'"," 'N531CB  '"," 'United States'","1745866506","1745866506","-88.094","34.6259","6096"," False","131.71","322.46","0"," None","6408.42"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['151ec1'"," 'SBI5207 '"," 'Russian Federation'","1745866507","1745866507","83.9416","55.0645","5753.1"," False","206.62","80.4","10.4"," None","5768.34"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['ae2ed2'"," 'BOMR703 '"," 'United States'","1745866485","1745866501","-97.335","27.7301","228.6"," False","48.02","135","-2.28"," None","236.22"," None"," False","0"," 13]))",""
"                  StateVector(dict_values(['71c517'"," 'APZ111  '"," 'Republic of Korea'","1745866507","1745866507","-123.5483","38.8429","9799.32"," False","250.27","134.83","-4.23"," None","10027.92"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['4d20a0'"," 'FPY9    '"," 'Malta'","1745866506","1745866507","-7.0131","47.7885","11277.6"," False","222.06","147.49","0"," None","11544.3"," '2015'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a6b453'"," 'N531BX  '"," 'United States'","1745866507","1745866507","-119.3865","35.088","6705.6"," False","153.46","11.8","0"," None","6835.14"," '2044'"," False","0"," 0]))",""
"                  StateVector(dict_values(['ae2ed4'"," 'RN087   '"," 'United States'","1745866507","1745866507","-86.9451","31.2187","1303.02"," False","132.22","180.45","0.33"," None","1424.94"," None"," False","0"," 13]))",""
"                  StateVector(dict_values(['71c516'"," 'APZ102  '"," 'Republic of Korea'","1745866507","1745866507","-123.775","38.3768","10363.2"," False","229.14","308.62","0"," None","10584.18"," '7623'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a6c780'"," 'N536JA  '"," 'United States'","1745866507","1745866507","-73.9079","23.0629","12192"," False","197.47","305.88","0"," None","12694.92"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['ab1e90'"," 'N8152C  '"," 'United States'","1745866507","1745866507","-122.7122","48.5354","1127.76"," False","82.83","323.84","0.33"," None","1173.48"," '4760'"," False","0"," 0]))",""
"                  StateVector(dict_values(['ac3e5d'"," 'SWA27   '"," 'United States'","1745866506","1745866507","-96.2513","30.2906","4617.72"," False","194.53","155.47","-5.2"," None","4876.8"," '0540'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a6a11e'"," 'VOI1821 '"," 'United States'","1745866507","1745866507","-121.7256","37.2737","3055.62"," False","154.06","137.84","13.98"," None","3131.82"," None"," False","0"," 0]))",""
"                  StateVector(dict_values(['48c2a8'"," 'RYR1EE  '"," 'Poland'","1745866507","1745866507","16.6573","53.3879","10972.8"," False","210.06","327.4","0"," None","11102.34"," '3707'"," False","0"," 0]))",""
"                  StateVector(dict_values(['48c2a9'"," 'RYR15VD '"," 'Poland'","1745866503","1745866506","-3.9465","55.7108","2110.74"," False","132.33","331.94","-1.63"," None","2286"," '3103'"," False","0"," 0]))",""
"                  StateVector(dict_values(['a471ec'"," 'DAL2710 '"," 'United States'","1745866506","1745866507","-83.3189","35.328","10005.06"," False","249.75","204.72","-4.88"," None","10393.68"," '2732'"," False","0"," 0]))",""
"                  StateVector(dict_values(['48c2a7'"," 'RYR59GC '"," 'Poland'","1745866431","1745866431","-5.9139","37.4179","53.34"," False","72.02","89.59","-4.23"," None","106.68"," '0665'"," False","0"," 0]))",""
"                  StateVector(dict_values(['71be28'"," 'KAL178  '"," 'Republic of Korea'","1745866507","1745866507","120.9144","25.2523","11277.6"," False","269.92","44.69","0"," None","11894.82"," None"," False","0"," 0]))",""
